date,Apple_Price,Apple_Vol.,sentiment_score
07-08-2020,95.34,117090000.0,-0.993955846875906
07-09-2020,95.68,125640000.0,0.0
07-10-2020,95.92,90260000.0,0.0
07-13-2020,95.48,191650000.0,0.0
07-14-2020,97.06,170990000.0,0.815849298145622
07-15-2020,97.72,153200000.0,0.9993340967193944
07-16-2020,96.52,110580000.0,0.9992558793746866
07-17-2020,96.33,92190000.0,0.9992179299879353
07-20-2020,98.36,90320000.0,0.9966739157680422
07-21-2020,97.0,103650000.0,0.0
07-22-2020,97.27,89000000.0,0.0
07-23-2020,92.84,197000000.0,0.0
07-24-2020,92.61,185440000.0,0.0
07-27-2020,94.81,121210000.0,0.0
07-28-2020,93.25,103630000.0,0.0
07-29-2020,95.04,90330000.0,0.0
07-30-2020,96.19,158130000.0,0.056513538118451834
07-31-2020,106.26,374300000.0,0.0
08-03-2020,108.94,308150000.0,0.9994697672518669
08-04-2020,109.67,172790000.0,0.0
08-05-2020,110.06,121990000.0,-0.9970348711358383
08-06-2020,113.9,202430000.0,0.9994005667977035
08-07-2020,111.11,198050000.0,0.9971855320618488
08-10-2020,112.73,212400000.0,0.9994095615111291
08-11-2020,109.38,187900000.0,0.9993515880487394
08-12-2020,113.01,165940000.0,0.0
08-13-2020,115.01,210080000.0,0.9984834833303466
08-14-2020,114.91,165570000.0,0.0
08-17-2020,114.61,119560000.0,0.0
08-18-2020,115.56,105630000.0,0.9994120455667144
08-19-2020,115.71,145540000.0,-0.9644398692762479
08-20-2020,118.28,126910000.0,0.9992200147826225
08-21-2020,124.37,338050000.0,0.0009943279001163319
08-24-2020,125.86,345940000.0,0.0024625451769679785
08-25-2020,124.83,211500000.0,0.9991143032821128
08-26-2020,126.52,163020000.0,0.0
08-27-2020,125.01,155550000.0,0.9988377801200841
08-28-2020,124.81,187630000.0,0.0011909036547876894
08-31-2020,129.04,225700000.0,0.976455831900239
09-01-2020,134.18,152470000.0,0.0
09-02-2020,131.4,200120000.0,0.9973449119133875
