date,Apple_Price,Apple_Vol.,sentiment_class
01-17-23,135.94,63420000.0,0.034
01-13-23,134.76,57810000.0,0.231
01-12-23,133.41,71250000.0,0.123
01-11-23,133.49,69120000.0,0.0079999999999999
01-10-23,130.73,63430000.0,0.061
01-09-23,130.15,70500000.0,0.043
01-06-23,129.62,87760000.0,0.0
01-05-23,125.02,79970000.0,0.0
01-04-23,126.36,88460000.0,-0.0129999999999999
01-03-23,125.07,111680000.0,0.098
12-30-22,129.93,77030000.0,0.0
12-29-22,129.61,75480000.0,0.045
12-28-22,126.04,84900000.0,-0.211
12-27-22,130.03,68750000.0,0.072
12-23-22,131.86,63820000.0,0.06
12-22-22,132.23,77590000.0,-0.016
12-21-22,135.45,85750000.0,0.375
12-20-22,132.3,77080000.0,0.063
12-19-22,132.37,79150000.0,-0.0139999999999999
12-16-22,134.51,160160000.0,0.205
12-15-22,136.5,97250000.0,0.086
12-14-22,143.21,82290000.0,0.015
12-13-22,145.47,93730000.0,0.144
12-12-22,144.49,70310000.0,-0.036
12-09-22,142.16,76100000.0,0.0049999999999999
12-08-22,142.65,61910000.0,0.082
12-07-22,140.94,69510000.0,0.088
12-06-22,142.91,64519999.99999999,0.092
12-05-22,146.63,68390000.0,0.0139999999999999
12-02-22,147.81,65450000.0,0.25
12-01-22,148.31,71250000.0,-0.12
11-30-22,148.03,111380000.0,-0.09
11-29-22,141.17,83760000.0,-0.019
11-28-22,144.22,69350000.0,0.086
11-25-22,148.11,35200000.0,0.118
11-23-22,151.07,58300000.0,-0.0069999999999999
11-22-22,150.18,51800000.0,0.2329999999999999
11-21-22,148.01,58720000.0,0.11
11-18-22,151.29,74830000.0,0.519
11-17-22,150.72,80390000.0,0.09
11-16-22,148.79,64220000.0,0.14
11-15-22,150.04,89870000.0,0.1009999999999999
11-14-22,148.28,73370000.0,0.0119999999999999
11-11-22,149.7,93980000.0,-0.11
11-10-22,146.87,118850000.0,0.061
11-09-22,134.87,74920000.0,0.0489999999999999
11-08-22,139.5,89910000.0,0.0
11-07-22,138.92,83380000.0,0.038
11-04-22,138.38,140820000.0,0.0
11-03-22,138.88,97920000.0,0.0
11-02-22,145.03,93610000.0,-0.015
11-01-22,150.65,80380000.0,0.111
10-31-22,153.34,97940000.0,0.096
10-28-22,155.74,164760000.0,0.095
10-27-22,144.8,109180000.0,0.012
10-26-22,149.35,88440000.0,0.1659999999999999
10-25-22,152.34,74730000.0,0.1699999999999999
10-24-22,149.45,75980000.0,0.152
10-21-22,147.27,86550000.0,0.104
10-20-22,143.39,64519999.99999999,0.017
10-19-22,143.86,61760000.0,0.045
10-18-22,143.75,99140000.0,0.074
10-17-22,142.41,85250000.0,0.111
10-14-22,138.38,88600000.0,0.0
10-13-22,142.99,113220000.0,0.041
10-12-22,138.34,70430000.0,0.066
10-11-22,138.98,77030000.0,0.044
10-10-22,140.42,74900000.0,-0.108
10-07-22,140.09,85930000.0,0.0
10-06-22,145.43,68400000.0,-0.018
10-05-22,146.4,79470000.0,0.0169999999999999
10-04-22,146.1,87830000.0,0.056
10-03-22,142.45,114310000.0,0.106
09-30-22,138.2,124930000.0,0.0399999999999999
09-29-22,142.48,128140000.0,-0.153
09-28-22,149.84,146690000.0,0.118
09-27-22,151.76,84440000.0,0.064
09-26-22,150.77,93340000.0,0.086
09-23-22,150.43,96030000.0,0.0039999999999999
09-22-22,152.74,86650000.0,0.099
09-21-22,153.72,101700000.0,0.039
09-20-22,156.9,107690000.0,-0.046
09-19-22,154.48,81470000.0,-0.063
09-16-22,150.7,162280000.0,0.087
09-15-22,152.37,90480000.0,0.109
09-14-22,155.31,87970000.0,0.13
09-13-22,153.84,122660000.0,0.0
09-12-22,163.43,104960000.0,0.086
09-09-22,157.37,68080000.0,-0.023
09-08-22,154.46,84920000.0,0.079
09-07-22,155.96,87450000.0,0.135
09-02-22,155.81,76960000.0,0.0
09-01-22,157.96,74230000.0,0.0029999999999999
08-31-22,157.22,87990000.0,0.0059999999999999
08-30-22,158.91,77910000.0,0.03
08-29-22,161.38,73310000.0,0.137
08-26-22,163.62,78960000.0,0.0
08-25-22,170.03,51220000.0,0.038
08-24-22,167.53,53840000.0,0.091
08-23-22,167.23,54150000.0,-0.055
08-22-22,167.57,69030000.0,-0.036
08-19-22,171.52,70350000.0,0.277
08-18-22,174.15,62290000.0,0.0239999999999999
08-17-22,174.55,79540000.0,0.042
08-16-22,173.03,56380000.0,0.067
08-15-22,173.19,54090000.0,0.0
08-12-22,172.1,68040000.0,0.203
08-11-22,168.49,57150000.0,0.164
08-10-22,169.24,70170000.0,0.0
08-09-22,164.92,63140000.0,0.0029999999999999
08-08-22,164.87,60360000.0,0.106
08-05-22,165.35,56700000.0,0.255
08-04-22,165.81,55470000.0,0.047
08-03-22,166.13,82510000.0,0.126
08-02-22,160.01,59910000.0,0.0
08-01-22,161.51,67830000.0,0.103
07-29-22,162.51,101790000.0,0.073
07-28-22,157.35,81380000.0,-0.08
07-27-22,156.79,78620000.0,-0.006
07-26-22,151.6,55140000.0,0.119
07-25-22,152.95,53620000.0,0.053
07-22-22,154.09,66680000.00000001,0.244
07-21-22,155.35,65090000.0,0.026
07-20-22,153.04,64819999.99999999,-0.038
07-19-22,151.0,82980000.0,0.036
07-18-22,147.07,81420000.0,0.111
07-15-22,150.17,76260000.0,-0.0049999999999999
07-14-22,148.47,78140000.0,0.119
07-13-22,145.49,71190000.0,0.0339999999999999
07-12-22,145.86,77590000.0,0.073
07-11-22,144.87,63310000.0,0.052
07-08-22,147.04,64550000.0,0.045
07-07-22,146.35,66250000.0,0.122
07-06-22,142.92,74060000.0,0.0139999999999999
07-01-22,138.93,71050000.0,0.093
06-30-22,136.72,98960000.0,0.226
06-29-22,139.23,66239999.99999999,0.039
06-28-22,137.44,67320000.0,0.0179999999999999
06-27-22,141.66,70210000.0,0.049
06-24-22,141.66,89120000.0,0.0989999999999999
06-23-22,138.27,72430000.0,0.061
06-22-22,135.35,73410000.0,0.065
06-17-22,131.56,134520000.0,0.062
06-16-22,130.06,107960000.0,0.085
06-15-22,135.43,91530000.0,0.247
06-14-22,132.76,84780000.0,0.0089999999999999
06-13-22,131.88,122210000.0,-0.078
06-10-22,137.13,91570000.0,-0.015
06-09-22,142.64,69470000.0,0.156
06-08-22,147.96,53950000.0,0.0379999999999999
06-07-22,148.71,67810000.0,0.079
06-06-22,146.14,71600000.0,0.0579999999999999
06-03-22,145.38,88570000.0,0.053
06-02-22,151.21,72350000.0,0.009
06-01-22,148.71,74290000.0,0.075
05-27-22,149.64,90980000.0,0.044
05-26-22,143.78,90600000.0,0.051
05-25-22,140.52,92480000.0,0.087
05-24-22,140.36,104130000.0,-0.081
05-23-22,143.11,117730000.0,-0.297
05-20-22,137.59,137430000.0,-0.1089999999999999
05-19-22,137.35,136100000.0,0.128
05-18-22,140.82,109740000.0,-0.196
05-17-22,149.24,78340000.0,0.038
05-16-22,145.54,86640000.0,0.072
05-13-22,147.11,113990000.0,0.116
05-12-22,142.56,182600000.0,0.131
05-11-22,146.5,142690000.0,0.0119999999999999
05-10-22,154.51,115370000.0,0.012
05-09-22,152.06,131580000.0,-0.083
05-06-22,157.28,116130000.0,-0.264
05-05-22,156.77,130530000.0,0.088
05-04-22,166.02,108260000.0,-0.087
05-03-22,159.48,88970000.0,0.0339999999999999
05-02-22,157.96,123060000.0,0.0099999999999999
04-29-22,157.65,131750000.0,0.128
04-28-22,163.64,130220000.0,-0.0359999999999999
04-27-22,156.57,88060000.0,0.017
04-26-22,156.8,95620000.0,-0.043
04-25-22,162.88,96050000.0,0.113
04-22-22,161.79,84880000.0,0.0
04-21-22,166.42,87230000.0,0.108
04-20-22,167.23,67930000.0,0.054
04-19-22,167.4,67720000.0,0.369
04-18-22,165.07,69020000.0,0.045
04-14-22,165.29,75330000.0,0.0
04-13-22,170.4,70620000.0,0.051
04-12-22,167.66,79270000.0,0.106
04-11-22,165.75,72250000.0,0.0
04-08-22,170.09,76580000.0,-0.091
04-07-22,172.14,77600000.0,0.0799999999999999
04-06-22,171.83,89060000.0,0.118
04-05-22,175.06,73400000.0,0.053
04-04-22,178.44,76550000.0,0.0559999999999999
04-01-22,174.31,78750000.0,0.126
03-31-22,174.61,103050000.0,-0.088
03-30-22,177.77,92630000.0,0.145
03-29-22,178.96,100590000.0,-0.0789999999999999
03-28-22,175.6,90370000.0,0.065
