date,Apple_Price,Apple_Vol.
2021-01-12,128.8,91950000.0
2021-01-13,130.89,88640000.0
2021-01-14,128.91,90220000.0
2021-01-15,127.14,111600000.0
2021-01-18,127.14,111600000.0
2021-01-19,127.14,111600000.0
2021-01-20,132.03,104320000.0
2021-01-21,136.87,120530000.0
2021-01-22,139.07,114460000.0
2021-01-25,142.92,157610000.0
2021-01-26,143.16,98390000.0
2021-01-27,142.06,140840000.0
2021-01-28,137.09,142620000.0
2021-01-29,131.96,177520000.0
2021-02-01,134.14,106240000.0
2021-02-02,134.99,83310000.0
2021-02-03,133.94,89880000.0
2021-02-04,137.39,84180000.0
2021-02-05,136.76,75690000.0
2021-02-08,136.91,71300000.0
2021-02-09,136.01,76770000.0
2021-02-10,135.39,73050000.0
2021-02-11,135.13,64280000.0
2021-02-12,135.37,60150000.0
2021-02-15,135.37,60150000.0
2021-02-16,135.37,60150000.0
2021-02-17,130.84,98090000.0
2021-02-18,129.71,96860000.0
2021-02-19,129.87,87670000.0
2021-02-22,126.0,103920000.0
2021-02-23,125.86,158270000.0
2021-02-24,125.35,111040000.0
2021-02-25,120.99,148200000.0
2021-02-26,121.26,164560000.0
2021-03-01,127.79,116310000.0
2021-03-02,125.12,102260000.0
2021-03-03,122.06,112970000.0
2021-03-04,120.13,178160000.0
2021-03-05,121.42,153770000.0
2021-03-08,116.36,154380000.0
2021-03-09,121.08,129530000.0
2021-03-10,119.98,111940000.0
2021-03-11,121.96,103030000.0
2021-03-12,121.03,88110000.0
2021-03-15,123.99,92590000.0
2021-03-16,125.57,115230000.0
2021-03-17,124.76,111930000.0
2021-03-18,120.53,121470000.0
2021-03-19,119.99,185550000.0
2021-03-22,123.39,111910000.0
2021-03-23,122.54,95470000.0
2021-03-24,120.09,88530000.0
2021-03-25,120.59,98850000.0
2021-03-26,121.21,94070000.0
2021-03-29,121.39,80820000.0
2021-03-30,119.9,85670000.0
2021-03-31,122.15,118320000.0
2021-04-01,123.0,75090000.0
2021-04-02,123.0,75090000.0
2021-04-05,125.9,88650000.0
2021-04-06,126.21,80170000.0
2021-04-07,127.9,83470000.0
2021-04-08,130.36,88850000.0
2021-04-09,132.99,106690000.0
2021-04-12,131.24,91420000.0
2021-04-13,134.43,91270000.0
2021-04-14,132.03,87220000.0
2021-04-15,134.5,89350000.0
2021-04-16,134.16,84920000.0
2021-04-19,134.84,94260000.0
2021-04-20,133.11,94810000.0
2021-04-21,133.5,68850000.0
2021-04-22,131.94,84570000.0
2021-04-23,134.32,78760000.0
2021-04-26,134.72,66910000.0
2021-04-27,134.39,66019999.99999999
2021-04-28,133.58,107760000.0
2021-04-29,133.48,151100000.0
2021-04-30,131.46,109840000.0
2021-05-03,132.54,75140000.0
2021-05-04,127.85,137560000.0
2021-05-05,128.1,84000000.0
